id;name;description;price;product_size;image;image_content_type;product_category_id
1;crow fair questionable;roughhouse elementary waterspout;27446.56;M;../fake-data/blob/hipster.png;image/png;1
2;upon;zowie cruelly as;13775.25;S;../fake-data/blob/hipster.png;image/png;2
3;spelling outlandish;in via whoa;19329.85;S;../fake-data/blob/hipster.png;image/png;3
4;tomorrow;blitz tricky yet;21034.49;XXL;../fake-data/blob/hipster.png;image/png;4
5;manage while numeracy;lonely mmm;264.93;S;../fake-data/blob/hipster.png;image/png;5
6;whose choreograph;overlap salami growling;22152.15;XL;../fake-data/blob/hipster.png;image/png;6
7;veil sum pfft;consequently;19634.92;S;../fake-data/blob/hipster.png;image/png;7
8;across;regarding;21492.8;M;../fake-data/blob/hipster.png;image/png;8
9;uh-huh qua quaff;misdial;14898.23;L;../fake-data/blob/hipster.png;image/png;9
10;leg however;hence with;21992.53;M;../fake-data/blob/hipster.png;image/png;10
