id;placed_date;status;total_price;payment_method;payment_reference;customer_details_id
1;2024-04-14T17:27:36;PAID;7893.63;IDEAL;cleverly;1
2;2024-04-15T00:05:54;PAID;31838.34;IDEAL;before feline;2
3;2024-04-15T06:32:50;PAID;989.7;CREDIT_CARD;but barring;1
4;2024-04-15T03:02:37;COMPLETED;2236.56;IDEAL;within that;1
5;2024-04-15T02:11:56;REFUNDED;16463.74;IDEAL;since;1
6;2024-04-15T04:09:23;REFUNDED;16745.77;IDEAL;rumble squish near;2
7;2024-04-15T06:56:37;CANCELLED;8741.98;CREDIT_CARD;meh arthur;1
8;2024-04-15T09:35:56;REFUNDED;9514.6;IDEAL;trafficker;2
9;2024-04-15T05:49:20;REFUNDED;25220.18;IDEAL;unequaled liquid;1
10;2024-04-15T03:19:09;PAID;14820.31;IDEAL;jumpy past;2
